Stockbridge,MA,90
Stoneham,MA,980
Stoughton,MA,1924
Stow,MA,259
Sturbridge,MA,424
Sudbury,MA,687
Sunderland,MA,208
Sutton,MA,253
Swampscott,MA,1002
Swansea,MA,376
Taunton,MA,4717
Templeton,MA,293
Tewksbury,MA,1251
Tisbury,MA,153
Tolland,MA,9
Topsfield,MA,270
Townsend,MA,401
Truro,MA,66
Tyngsborough,MA,561
Tyringham,MA,12
Upton,MA,279
Uxbridge,MA,452
Wakefield,MA,1146
Wales,MA,41
Walpole,MA,1116
Waltham,MA,10719
Ware,MA,770
Wareham,MA,741
Warwick,MA,21
Washington,MA,15
Watertown,MA,2718
Wayland,MA,541
Webster,MA,2479
Wellesley,MA,1523
Wellfleet,MA,77
Wendell,MA,27
Wenham,MA,227
West Boylston,MA,583
West Bridgewater,MA,251
West Brookfield,MA,123
West Newbury,MA,144
West Springfield,MA,4020
West Stockbridge,MA,46
West Tisbury,MA,53
Westborough,MA,1294
Westfield,MA,3942
Westford,MA,633
Westhampton,MA,46
Westminster,MA,357
Weston,MA,486
Westport,MA,334
Westwood,MA,464
Weymouth,MA,2564
Whately,MA,40
Whitman,MA,538
Wilbraham,MA,784
Williamsburg,MA,76
Williamstown,MA,462
Wilmington,MA,694
Winchendon,MA,575
Winchester,MA,773
Windsor,MA,19
Winthrop,MA,2413
Woburn,MA,2602
Worcester,MA,50736
Worthington,MA,30
Wrentham,MA,307
Yarmouth,MA,1147
Waterford,CT,744
New London,CT,8226
Mystic,CT,94
Groton,CT,1243
